numeroEstudiante;pre1;pre2;pre3;pre4;post1;post2;post3;post4;post5a;post5b;NotaIndividual;NotaGrupal;mesa
1;4;4;4;4;4;4;4;4;4;1;8.5;10;1
2;5;5;4;3;5;5;4;3;0;0;10;7;0
3;4;4;5;3;5;4;5;3;0;0;10;6.5;0
4;5;5;5;5;2;4;3;5;3;1;9;9;1
5;4;4;3;4;4;5;5;5;0;0;8;8;0
6;4;4;3;4;5;4;5;5;5;1;9;10;1
7;4;3;3;4;5;5;5;4;4;1;10;10;1
10;2;4;2;4;3;4;5;4;4;1;10;10;1
11;3;1;4;3;5;4;4;4;0;0;10;8;0
13;4;3;3;3;5;4;3;4;1;1;10;9;1
17;4;4;3;4;4;3;4;4;0;0;10;6.5;0
18;4;4;5;4;5;5;5;5;5;1;10;10;1
19;4;5;3;5;4;4;4;5;0;0;8;7;0
20;4;2;1;4;3;3;2;3;0;0;8;8;0
21;2;2;3;3;4;4;4;4;0;0;8;7;0
23;4;4;3;5;5;4;4;4;0;0;10;8;0
24;5;5;4;4;5;5;5;5;4;1;10;10;1
25;4;4;4;4;1;5;4;1;1;0;8.5;9;1
26;4;4;5;4;5;5;5;4;0;0;10;6.5;0
27;4;4;5;4;5;5;5;5;1;1;10;10;1
28;4;4;2;3;5;5;5;5;0;0;10;6.5;0
30;4;2;1;4;5;4;5;5;0;0;10;7;0
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
